中文,EN
伸展,STRETCHES
芭蕾伸展,BALLET STRETCHES
雙腳蹬梯,FEET ON LADDER
側彎,SIDE BEND
旋轉加屈曲,OBLIQUES WITH FLEXION
俯臥旋轉,ROTATION PRONE
天鵝潛水,SWAN DIVE
雙手扶梯,HANDS ON LADDER
放腿與抬腿,LOWER & LIFT
雙腿畫弧,LEG CIRCLES
剪刀式,SCISSORS
拍擊,BEATS
天鵝潛水,SWAN DIVE
蚱蜢姿,GRASSHOPPER
側躺,SIDE-LYING
側抬腿,SIDE LEG LIFTS
剪刀式,SCISSORS
單肘伸曲練習,ONE ARM PRESS
盒子橫放系列,SHORT BOX SERIES
弓背,ROUND BACK
直背,STRAIGHT BACK
扭轉,TWIST
弓背扭轉,TWIST WITH ROUND BACK
傾斜,LEAN
樹姿,TREE
坐姿,SITTING
剪刀式,SCISSORS
腳踏車式,BICYCLE
放腿與抬腿,LOWER & LIFT
雙腿畫弧,LEG CIRCLES
髖部扭轉,HIP TWIST
騎馬式,HORSEBACK
平背姿勢,FLAT BACK
剪刀式,SCISSORS
腳踏車式,BICYCLE
放腿與抬腿,LOWER & LIFT
雙腿畫弧,LEG CIRCLES
空中螺旋,CORKSCREW
手倒立,HANDSTAND
